lambda,beta,frac_campo,ion
1508.403361,13109547.78,0.142584306,3
1508.403361,13109921.25,0.142632133,3
1508.403361,13110295.24,0.142680003,3
1508.403361,13110669.78,0.142727915,3
1508.403361,13111044.84,0.14277587,3
1508.403361,13111420.45,0.142823868,3
1508.403361,13111796.59,0.142871907,3
1508.403361,13112173.27,0.14291999,3
1508.403361,13112550.48,0.142968114,3
1508.403361,13112928.23,0.143016281,3
1508.403361,13113306.52,0.14306449,3
1508.403361,13113685.35,0.143112741,3
1508.403361,13114064.71,0.143161034,3
1508.403361,13114444.62,0.143209369,3
1508.403361,13114825.06,0.143257746,3
1508.403361,13115206.04,0.143306165,3
1508.403361,13115587.57,0.143354625,3
1508.403361,13115969.63,0.143403127,3
1508.403361,13116352.24,0.143451671,3
1508.403361,13116735.38,0.143500256,3
1508.403361,13117119.07,0.143548882,3
1508.403361,13117503.3,0.14359755,3
1508.403361,13117888.07,0.143646259,3
1508.403361,13118273.39,0.143695009,3
1508.403361,13118659.24,0.143743801,3
1508.403361,13119045.64,0.143792633,3
1508.403361,13119432.59,0.143841506,3
1508.403361,13119820.08,0.143890421,3
1508.403361,13120208.11,0.143939376,3
1508.403361,13120596.69,0.143988372,3
1508.403361,13120985.82,0.144037408,3
1508.403361,13121375.49,0.144086485,3
1508.403361,13121765.7,0.144135603,3
1508.403361,13122156.46,0.144184761,3
1508.403361,13122547.77,0.144233959,3
1508.403361,13122939.63,0.144283198,3
1508.403361,13123332.04,0.144332476,3
1508.403361,13123724.99,0.144381795,3
1508.403361,13124118.49,0.144431154,3
1508.403361,13124512.54,0.144480553,3
1508.403361,13124907.14,0.144529991,3
1508.403361,13125302.29,0.14457947,3
1508.403361,13125697.99,0.144628988,3
1508.403361,13126094.24,0.144678546,3
1508.403361,13126491.04,0.144728143,3
1508.403361,13126888.39,0.14477778,3
1508.403361,13127286.29,0.144827456,3
1508.403361,13127684.75,0.144877171,3
1508.403361,13128083.75,0.144926925,3
1508.403361,13128483.31,0.144976719,3
1508.403361,13128883.42,0.145026552,3
1508.403361,13129284.09,0.145076423,3
1508.403361,13129685.31,0.145126334,3
1508.403361,13130087.08,0.145176283,3
1508.403361,13130489.41,0.145226271,3
1508.403361,13130892.3,0.145276298,3
1508.403361,13131295.74,0.145326363,3
1508.403361,13131699.73,0.145376466,3
1508.403361,13132104.28,0.145426608,3
1508.403361,13132509.39,0.145476788,3
1512.605042,13051951.78,0.142163058,3
1512.605042,13052306.83,0.142209101,3
1512.605042,13052662.41,0.142255188,3
1512.605042,13053018.51,0.14230132,3
1512.605042,13053375.14,0.142347496,3
1512.605042,13053732.29,0.142393717,3
1512.605042,13054089.96,0.142439982,3
1512.605042,13054448.16,0.14248629,3
1512.605042,13054806.88,0.142532643,3
1512.605042,13055166.13,0.14257904,3
1512.605042,13055525.9,0.142625481,3
1512.605042,13055886.2,0.142671966,3
1512.605042,13056247.02,0.142718495,3
1512.605042,13056608.38,0.142765067,3
1512.605042,13056970.26,0.142811684,3
1512.605042,13057332.66,0.142858343,3
1512.605042,13057695.6,0.142905047,3
1512.605042,13058059.06,0.142951794,3
1512.605042,13058423.05,0.142998584,3
1512.605042,13058787.57,0.143045418,3
1512.605042,13059152.62,0.143092295,3
1512.605042,13059518.2,0.143139216,3
1512.605042,13059884.31,0.143186179,3
1512.605042,13060250.95,0.143233186,3
1512.605042,13060618.12,0.143280236,3
1512.605042,13060985.82,0.143327328,3
1512.605042,13061354.05,0.143374464,3
1512.605042,13061722.82,0.143421642,3
1512.605042,13062092.11,0.143468864,3
1512.605042,13062461.94,0.143516128,3
1512.605042,13062832.31,0.143563434,3
1512.605042,13063203.2,0.143610783,3
1512.605042,13063574.63,0.143658175,3
1512.605042,13063946.6,0.143705609,3
1512.605042,13064319.1,0.143753085,3
1512.605042,13064692.13,0.143800604,3
1512.605042,13065065.7,0.143848165,3
1512.605042,13065439.8,0.143895768,3
1512.605042,13065814.44,0.143943413,3
1512.605042,13066189.62,0.1439911,3
1512.605042,13066565.33,0.144038829,3
1512.605042,13066941.59,0.1440866,3
1512.605042,13067318.37,0.144134413,3
1512.605042,13067695.7,0.144182267,3
1512.605042,13068073.56,0.144230163,3
1512.605042,13068451.97,0.1442781,3
1512.605042,13068830.91,0.144326079,3
1512.605042,13069210.39,0.1443741,3
1512.605042,13069590.41,0.144422161,3
1512.605042,13069970.97,0.144470264,3
1512.605042,13070352.08,0.144518409,3
1512.605042,13070733.72,0.144566594,3
1512.605042,13071115.9,0.14461482,3
1512.605042,13071498.63,0.144663087,3
1512.605042,13071881.9,0.144711396,3
1512.605042,13072265.71,0.144759744,3
1512.605042,13072650.06,0.144808134,3
1512.605042,13073034.96,0.144856564,3
1512.605042,13073420.4,0.144905035,3
1512.605042,13073806.38,0.144953547,3
1512.605042,13074192.91,0.145002098,3
1512.605042,13074579.98,0.14505069,3
1512.605042,13074967.6,0.145099323,3
1512.605042,13075355.77,0.145147995,3
1512.605042,13075744.48,0.145196708,3
1512.605042,13076133.73,0.14524546,3
